n type t_tot t_blk lambda s feed x y z
20 1 1.728000 0.030000 0.002249 0.044980 179.920036 -10.000000 0.000000 19.955020
20 1 1.734000 0.036000 0.003221 0.064416 199.911151 -10.000000 0.000000 19.935584
20 1 1.740000 0.042000 0.004220 0.084407 199.911151 -10.000000 0.000000 19.915593
20 1 1.746000 0.048000 0.005220 0.104398 199.911151 -10.000000 0.000000 19.895602
20 1 1.752000 0.054000 0.006219 0.124389 199.911151 -10.000000 0.000000 19.875611
20 1 1.758000 0.060000 0.007219 0.144380 199.911151 -10.000000 0.000000 19.855620
20 1 1.764000 0.066000 0.008219 0.164371 199.911151 -10.000000 0.000000 19.835629
20 1 1.770000 0.072000 0.009218 0.184363 199.911151 -10.000000 0.000000 19.815637
20 1 1.776000 0.078000 0.010218 0.204354 199.911151 -10.000000 0.000000 19.795646
20 1 1.782000 0.084000 0.011217 0.224345 199.911151 -10.000000 0.000000 19.775655
20 1 1.788000 0.090000 0.012217 0.244336 199.911151 -10.000000 0.000000 19.755664
20 1 1.794000 0.096000 0.013216 0.264327 199.911151 -10.000000 0.000000 19.735673
20 1 1.800000 0.102000 0.014216 0.284318 199.911151 -10.000000 0.000000 19.715682
20 1 1.806000 0.108000 0.015215 0.304309 199.911151 -10.000000 0.000000 19.695691
20 1 1.812000 0.114000 0.016215 0.324300 199.911151 -10.000000 0.000000 19.675700
20 1 1.818000 0.120000 0.017215 0.344291 199.911151 -10.000000 0.000000 19.655709
20 1 1.824000 0.126000 0.018214 0.364283 199.911151 -10.000000 0.000000 19.635717
20 1 1.830000 0.132000 0.019214 0.384274 199.911151 -10.000000 0.000000 19.615726
20 1 1.836000 0.138000 0.020213 0.404265 199.911151 -10.000000 0.000000 19.595735
20 1 1.842000 0.144000 0.021213 0.424256 199.911151 -10.000000 0.000000 19.575744
20 1 1.848000 0.150000 0.022212 0.444247 199.911151 -10.000000 0.000000 19.555753
20 1 1.854000 0.156000 0.023212 0.464238 199.911151 -10.000000 0.000000 19.535762
20 1 1.860000 0.162000 0.024211 0.484229 199.911151 -10.000000 0.000000 19.515771
20 1 1.866000 0.168000 0.025211 0.504220 199.911151 -10.000000 0.000000 19.495780
20 1 1.872000 0.174000 0.026211 0.524211 199.911151 -10.000000 0.000000 19.475789
20 1 1.878000 0.180000 0.027210 0.544203 199.911151 -10.000000 0.000000 19.455797
20 1 1.884000 0.186000 0.028210 0.564194 199.911151 -10.000000 0.000000 19.435806
20 1 1.890000 0.192000 0.029209 0.584185 199.911151 -10.000000 0.000000 19.415815
20 1 1.896000 0.198000 0.030209 0.604176 199.911151 -10.000000 0.000000 19.395824
